出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
1131117,11310,2527,宏璟,建材營造,5466657,151899,33085,3498.8762269666026,16423.06785552365,7044624,2167644,224.98989686498336,"本月及本年累計營收較去年高,主要係因本月有大型工案銷售認列收入所致"
1131117,11310,2528,皇普,建材營造,55,22939,21,-99.76023366,161.9047619047619,24547,1849936,-98.67308923,主係認列租賃收入55仟元所致。
1131117,11310,2530,華建,建材營造,198587,402117,732,-50.61462211,27029.371584699453,4756714,10094,47024.17277590648,"本年度出售房地收入較去年度增加4,747,924仟元,本年度租金收入較去年度同期減少1,304仟元."
1131117,11310,2534,宏盛,建材營造,105316,64530,164483,63.204710987137766,-35.97149857,1075980,2280797,-52.82438551,本月成屋銷售情形較去年同期減少。
1131117,11310,2535,達欣工,建材營造,915441,1114789,1319972,-17.88212837,-30.64693797,12099364,11701937,3.3962496978064403,-
1131117,11310,2536,宏普,建材營造,31283,14922,51009,109.64347942635035,-38.67160697,629460,225476,179.1694016214586,今年本期認列租金收入及出售道路地
1131117,11310,2537,聯上發,建材營造,501,501,82100,0,-99.38976857,1512942,438749,244.83087140939352,本月營收較去年減少，係去年同期認列台北市房地出售收入較高所致。
1131117,11310,2538,基泰,建材營造,20707,18799,16600,10.14947603595936,24.740963855421686,874042,296826,194.4627492200818,本年有建案交屋認列收入，故本年營收增加
1131117,11310,2539,櫻花建,建材營造,5755350,0,0,,,7538402,4543774,65.90618283391736,無異常。本月有「櫻花大櫻國-倫敦花園」及「櫻花聚-聚馥區」建案陸續過戶中。
1131117,11310,2540,愛山林,建材營造,1808193,993268,658427,82.04482576706387,174.62315488277363,9310602,6074017,53.28574154468122,本月營收增加，主係建案完工交屋所致。
1131117,11310,2542,興富發,建材營造,6306435,3050875,4392878,106.70905887655181,43.56044033091745,31044461,41394841,-25.00403372,-
1131117,11310,2543,皇昌,建材營造,1013752,1016528,1124276,-0.273086428,-9.830682146,10239318,8975518,14.080524377534534,-
1131117,11310,2545,皇翔,建材營造,1057090,1075407,299138,-1.703262114,253.3787081547647,11222561,2325438,382.5998801086075,因本期成屋銷售情形較去年同期佳所致
1131117,11310,2546,根基,建材營造,1429615,1276590,1119240,11.98701227488857,27.730870948143384,11337252,11336906,0.003051979,-
1131117,11310,2547,日勝生,建材營造,518191,518704,495567,-0.098900336,4.565275734663527,5481628,5281914,3.7810914755522336,-
1131117,11310,2548,華固,建材營造,11905,374214,1184558,-96.81866526,-98.99498378,7178433,10388589,-30.90078932,公司截至10月底累計營收較去年同期減少，係因本年度認列交屋金額較低所致。
1131117,11310,2597,潤弘,建材營造,2170653,2187245,1757922,-0.758579857,23.47834545560042,21189076,17977832,17.862242788785654,-
1131117,11310,2601,益航,貿易百貨,438017,354116,493252,23.69308362231585,-11.19812996,4038337,4597344,-12.15934679,-
1131117,11310,2603,長榮,航運業,41525743,44637217,23364349,-6.970582418,77.73122204,389281931,230388028,68.96795132080388,運價受市場供需影響，以致收入增加。
1131117,11310,2605,新興,航運業,307788,346996,369238,-11.2992657,-16.64238242,3828574,3522624,8.685286877055287,-
1131117,11310,2606,裕民,航運業,1346288,1446829,1279006,-6.949058942,5.260491350314228,13823949,11684892,18.306176899195986,-
1131117,11310,2607,榮運,航運業,1679144,2039698,1680794,-17.67683255,-0.09816789,17843240,13331270,33.845012515686804,-
1131117,11310,2608,嘉里大榮,航運業,1043205,1053658,991019,-0.992067635,5.265892984897363,10368484,9900206,4.729982386225095,-
1131117,11310,2609,陽明,航運業,18993369,21619938,11301611,-12.14882762,68.05895194941677,188222406,119202536,57.90134364255472,整體運價上漲，致營收增加。
1131117,11310,2610,華航,航運業,17130710,16009087,16076002,7.006164686,6.560760567210679,168111921,153637882,9.420879025,-
1131117,11310,2611,志信,航運業,54268,55430,50140,-2.096337723,8.232947746,557045,499617,11.494404714010932,-
1131117,11310,2612,中航,航運業,417788,381290,349787,9.572241600881219,19.440688190241488,3786931,3311207,14.367087288713753,-
1131117,11310,2613,中櫃,航運業,252570,279070,282620,-9.49582542,-10.63265162,2704493,2605431,3.802134848,-
